# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1564196	bitcoin	1	1683	0	5	3.0	74100	12463	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT,SIGNAL	Mononaut explains the Liquid vulnerability
1564011	lightning	1	1528	0	1	8.0	163128	3822	recent@lightning|top@lightning	HOT,SIGNAL	Onion message jamming in the lightning network - Erick Cestari
1564128	bitcoin	1	1434	0	11	4.7	1264102	84	recent@bitcoin|top@bitcoin|recent@BooksAndArticles	HOT,SIGNAL	Book Collecting For Bitcoiners, Part 1
1564081	Stacker_Stocks	2	1155	0	0	5.8	724606	12545	recent@econ|top@econ|recent@Stacker_Stocks	HOT,SIGNAL	Everything is Awesome in the Stock Market (FT, Toothfairy)
1564274	AskSN	2	1050	0	20	1.4	375687	3177	recent@AskSN|top@AskSN	FRESH,HOT,SIGNAL,SELF_POST_OPP	How do rewards actually work⁉️
1564105	security	1	957	0	7	5.2	303620	6352	recent@bitcoin|top@bitcoin|recent@security	SIGNAL	Will Liquid Lose 1:1 BTC Parity?
1564232	AskSN	2	641	0	5	2.4	1242375	229	recent@bitcoin|top@bitcoin|recent@AskSN	SIGNAL,SELF_POST_OPP	Who will be the next big Bitcoin hack?
1564335	bitcoin	1	636	0	11	0.5	74100	12463	recent@bitcoin|top@bitcoin	FRESH,SIGNAL	Liquud White hat  returns 3400 BTC
1564117	DIY	3	534	0	3	5.0	280679	23130	recent@tech|top@tech	SIGNAL	Build a digitally sovereign second brain
1564143	AskSN	2	504	0	5	4.3	102558	1128	recent@AskSN|top@AskSN	SIGNAL,SELF_POST_OPP	Have you ever posted as Anon?
1564340	science	2	500	0	0	0.4	280679	23130	recent@science|top@science	FRESH,SIGNAL	Astronomers Have Completed the Largest Map of Space. Yes, You Can Play With It.
1564102	AskSN	2	331	0	4	5.3	1054143	1211	recent@AskSN|top@AskSN	SIGNAL	If You Could Travel Anywhere in the World Right Now, Where Would You Go?
1564126	AI	1	327	0	1	4.7	297791	7693	recent@AI|top@AI	SIGNAL	Nvidia's Jensen Huang says 'AGI has arrived' and congratulates OpenAI
1563987	mempool	1	300	0	1	9.8	263526	658	recent@lightning|top@lightning|recent@mempool	SIGNAL	Blockstream's Liquid Explorer still stacking blocks
