# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1563609	bitcoin	1	2743	0	73	9.3	74100	12450	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT,SIGNAL	4k BTC Liquid pegout, OP_Return: "We are whitehats"
1563534	AskSN	2	2554	0	10	10.7	1242375	227	recent@AskSN|top@AskSN	HOT,SIGNAL,SELF_POST_OPP	What have you been that you aren't anymore?
1563516	meta	1	1937	0	11	10.9	280679	23120	recent@bitcoin|top@bitcoin|recent@meta	HOT,SIGNAL	Is it finally happening today?
1563524	lol	2	1812	0	3	10.8	263526	644	recent@mempool|top@mempool|recent@lol	HOT,SIGNAL	Did Liquid just stop mining? Last block mined 4h ago
1563802	Politics_And_Law	3	1415	0	2	5.0	88718	47297	recent@history|top@history	HOT,SIGNAL	World War II, the 'No Good' War | The Libertarian Institute
1563548	science	2	1365	0	0	10.5	724606	12541	recent@science|top@science|recent@econ	HOT,SIGNAL	Necessary Inventions, and the Only Graph That Matters (Doomberg)
1563642	meta	1	1094	0	3	8.5	92827	2865	recent@meta|top@meta	HOT,SIGNAL	SNZ has a maintenance week
1563848	bitcoin	1	1025	0	4	3.8	74100	12450	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT,SIGNAL	various clanker summaries of the Liquid vulnerability
1563574	ideasfromtheedge	2	812	0	0	10.1	375005	2174	recent@ideasfromtheedge|top@ideasfromtheedge	SIGNAL	How do you get rid of bad habits?
1563604	AskSN	2	662	0	2	9.6	1545780	122	recent@AskSN|top@AskSN	SIGNAL	Any Collectors Here? What Do You Collect?
1563585	AI	1	534	0	0	9.9	12309	3655	recent@AI|top@AI|recent@econ	SIGNAL	The jobs apocalypse is postponed. An AI jobs boom is here
1563860	Stacker_Stocks	2	404	0	2	3.5	9274	27111	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	🚨Blok’s Stock on Predxy🚨: Will Snapchat (Snap) Reach $7 by Sept. 2027?
1563920	bitcoin	1	368	0	8	1.6	74100	12450	recent@bitcoin|top@bitcoin	FRESH,SIGNAL	Liquid "whitehat" trying sending funds back?
1563592	Construction_and_Engineering	2	364	0	0	9.8	9274	27111	recent@Construction_and_Engineering|top@Construction_and_Engineering|recent@Stacker_Stocks	SIGNAL	SpaceX building 1.2M BTC Louisiana spaceport
1563660	tech	1	338	0	0	8.0	161788	10365	recent@tech|top@tech	SIGNAL	Nitter is unarchived and will continue
1563621	Stacker_Stocks	2	328	0	0	8.9	280679	23120	recent@econ|top@econ|recent@Stacker_Stocks	SIGNAL	Growth Mindset
1563602	news	2	315	0	0	9.6	9274	27111	recent@Construction_and_Engineering|top@Construction_and_Engineering|recent@news	SIGNAL	As water scarcity grips AZ, San Luis prepares for major wastewater plant upgrade
1563824	Photography	3	261	0	2	4.3	984933	2335	recent@history|top@history	SIGNAL	Young boys selling chewing gum on the streets of Manhattan, c. 1910
1563713	bitcoin	1	228	0	4	6.8	296825	5282	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Do you understand this?
1563917	AskSN	2	218	0	1	1.8	1532836	401	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	FRESH,SIGNAL	I have good news and bad news.
1563578	AI	1	208	0	0	10.0	280679	23120	recent@AI|top@AI	SIGNAL	LLM Reverse Engineering: The 32% Binary Barrier
1563810	bitcoin	1	193	0	3	4.9	1301409	51	recent@bitdevs|top@bitdevs	SIGNAL	What's the status on freeing Samourai?
1563855	Politics_And_Law	3	187	0	0	3.7	837285	1663	recent@history|top@history	SIGNAL	The South Fought for Slavery. Enslaved Black Americans Forced Emancipation.
1563626	science	2	184	0	4	8.9	1532699	347	recent@science|top@science	SIGNAL	Carl Sagan's Explanation of Higher Dimensions Will Mess With Your Head
1563497	charts_and_maps	2	169	0	1	11.3	402772	22277	recent@charts_and_maps|top@charts_and_maps	SIGNAL	Mapped: Minimum Wages Around the World in 2026, U.S ranks 25th
1563902	lol	2	157	0	0	2.2	458256	4911	recent@news|top@news|recent@lol	SIGNAL	President Trump declares the Moon is a U.S. territory
