# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1565359	bitcoin	1	5921	0	6	9.1	30782	25670	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Review - "What You Need To Know About Bitcoins" (First Bitcoin Book?)
1565349	AskSN	2	3292	0	21	9.2	1242375	234	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Would you accept a payment with an input from a stolen utxo?
1565350	bitcoin	1	3142	0	2	9.2	724606	12621	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Bitcoin Reframed: Freedom is the Overlooked Promise (WSJ PaidProgram, Gladstein)
1565270	bitcoin	1	2376	0	2	10.6	19732	168	recent@bitcoin|top@bitcoin	HOT,SIGNAL	NEW TUTORIAL: Frostsnap - An easier way to do multisig
1565565	AI	1	2347	0	3	5.3	12309	3660	recent@AI|top@AI	HOT,SIGNAL	You should care about the AI math breakthrough drama even if you're not a nerd
1565276	AI	1	2280	0	3	10.5	724606	12621	recent@AI|top@AI	HOT,SIGNAL	AI Raises the Value of What It Can’t Replicate (TDE, Kimberlee Josephson)
1565535	AI	1	1858	0	5	6.4	4078	5456	recent@AI|top@AI	HOT,SIGNAL	On the Navier–Stokes Millennium Prize Problem
1565382	AI	1	1841	0	0	8.9	328486	4999	recent@AI|top@AI	HOT,SIGNAL	Update on using GrokBot - Success with Telegram
1565577	bitcoin	1	1558	0	17	5.2	74100	12502	recent@bitcoin|top@bitcoin	HOT,SIGNAL	LIQUID NETWORK UPDATE: INCIDENT REPORT
1565564	bitcoin	1	1505	0	0	5.4	74100	12502	recent@bitcoin|top@bitcoin	HOT,SIGNAL	babiloniav2 - AdamISZ
1565605	lol	2	1038	0	3	4.2	879734	9358	recent@AI|top@AI	HOT,SIGNAL	Capture your niche, LLMs
1565439	lightning	1	969	0	1	8.2	440729	253	recent@lightning|top@lightning	SIGNAL	Biggest Channel Opened Today (2.0 BTC) + New Node Spotlight (033daaa35184535cc…)
1565303	tech	1	647	0	0	10.0	280679	23161	recent@tech|top@tech	SIGNAL	EV batteries last longer than drivers feared
1565589	AI	1	473	0	0	4.9	12309	3660	recent@AI|top@AI	SIGNAL	How a tiny Anthropic team became a surprisingly productive hit factory
1565518	lightning	1	447	0	5	6.8	593339	20	recent@lightning|top@lightning	SIGNAL	Phoenix wallet channel closed
