# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1564812	meta	1	3175	0	9	8.2	191840	7807	recent@meta|top@meta	HOT,SIGNAL	@nitter is back again
1564665	relationships	3	1708	0	15	11.7	375005	2180	recent@ideasfromtheedge|top@ideasfromtheedge	HOT,SIGNAL,SELF_POST_OPP	Photos don't seem that important until they become the only thing you have left.
1564909	lol	2	802	0	7	5.0	74100	12486	recent@Stacker_Stocks|top@Stacker_Stocks|recent@lol	SIGNAL,SELF_POST_OPP	Who knew that there is something weird going on with Metaplanet?
1564656	bitcoinplusplus	1	663	0	1	11.9	462245	303	recent@bitcoinplusplus|top@bitcoinplusplus	SIGNAL	Liquid Hacked — Last Week in Bitcoin (Aug 31 - Sep 06)
1564818	Stacker_Stocks	2	598	0	16	7.8	9274	27167	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL,SELF_POST_OPP	Blok Whatcha Buying: Week #54
1564750	Photography	3	417	0	4	10.0	984933	2349	recent@history|top@history	SIGNAL	Girls on a New York City subway, 1970s
1564816	AskSN	2	275	0	0	8.0	984933	2349	recent@AskSN|top@AskSN	SIGNAL	AskSN Weekly Q&A Awards Issue #6
1564734	AskSN	2	255	0	3	10.4	1532836	414	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitcoinplusplus	SIGNAL	I begin the story between Blockstream and Hackers, and then the negotiation
1565006	AskSN	2	242	0	1	0.7	724606	12575	recent@econ|top@econ|recent@AskSN	FRESH,SIGNAL	Can You Safely Launder Bitcoin? And How Much?
1564715	Politics_And_Law	3	121	0	0	11.1	837285	1671	recent@econ|top@econ|recent@history	SIGNAL	There Are Only Two Ways to Create Wealth: Labor & Ownership
1565021	Politics_And_Law	3	120	0	1	0.0	724606	12575	recent@econ|top@econ	FRESH,SIGNAL	Sweden's Fight Against the Deadly Gangs (FT, Richard Milne)
1564984	bitcoin	1	118	0	2	1.6	296825	5289	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	FRESH,SIGNAL	What really stops people from spamming the network?
1564875	AskSN	2	107	0	13	6.5	1532836	414	recent@bitcoin|top@bitcoin|recent@Education	SIGNAL	668K in Reward
1564756	lol	2	102	0	1	9.7	150551	205	recent@lol|top@lol	SIGNAL	Matt Kratter's fun take on Liquid 'hack', Blockstream, and Andy Back
1564274	AskSN	2	3366	0	76	18.6	375687	3181	recent@AskSN|top@AskSN	HOT	How do rewards actually work⁉️
1564307	AskSN	2	2860	0	17	18.0	1450322	109	recent@AskSN|top@AskSN	HOT,SELF_POST_OPP	Coinos issues
1563947	Music	3	2821	0	4	29.2	487489	190	recent@BooksAndArticles	HOT	physical media that i will FOREVER own:
1564335	bitcoin	1	2767	0	43	17.6	74100	12486	recent@bitcoin|top@bitcoin	HOT	Liquud White hat  returns 3400 BTC
