# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1566740	AskSN	2	4435	0	8	5.8	1532836	435	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT,SIGNAL,SELF_POST_OPP	Phishing attack underway targeting @BitBoxSwiss and @Trezor customers via email.
1566607	bitcoin	1	2749	0	2	8.6	1565925	5	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Bitcoin Core 31.1 released
1566496	econ	2	2534	0	6	9.9	724606	12675	recent@econ|top@econ	HOT,SIGNAL,SELF_POST_OPP	Why CPI Ignores Homes and Stocks (The Daily Economy, Karl-Friedrich Israel)
1566452	AI	1	2297	0	29	10.6	48657	15164	recent@AI|top@AI|recent@AskSN	HOT,SIGNAL	Anthropic Researcher Quits Over ‘Out-of-Control’ AI Fears
1567039	bitcoin	1	1940	0	1	1.1	47964	1141	recent@bitcoin|top@bitcoin	FRESH,HOT,SIGNAL	Freedom maxing is for retarded phaggots
1566529	Stacker_Stocks	2	1757	0	5	9.6	402772	22343	recent@Stacker_Stocks|top@Stacker_Stocks	HOT,SIGNAL,SELF_POST_OPP	Will the Liquid hacker return any more Bitcoin and how many? (PREDYX Markets)
1566474	tech	1	1501	0	4	10.2	402772	22343	recent@tech|top@tech	HOT,SIGNAL	Apple Debuts the iPhone Duo, Its First Folding iPhone
1567047	bitcoin	1	1123	0	1	0.9	74100	12559	recent@bitcoin|top@bitcoin	FRESH,HOT,SIGNAL	OP_RETURN Messenger — the Liquid hacker negotiations as a live chat app
1566410	Construction_and_Engineering	2	1060	0	2	11.5	280679	23209	recent@Construction_and_Engineering|top@Construction_and_Engineering	HOT,SIGNAL	The World's Most Beautiful Bridge Just Opened | The B1M
1566517	news	2	887	0	3	9.7	74100	12559	recent@bitcoin|top@bitcoin|recent@news	SIGNAL	Liquid Network update - new release as of 9 Sept 2026 1330 UTC
1566564	news	2	674	0	0	9.1	297791	7707	recent@tech|top@tech|recent@news	SIGNAL	Starlink Quietly Debuts Router 4, Confirms It Features Wi-Fi 7
1566548	AI	1	670	0	2	9.3	12309	3661	recent@AI|top@AI|recent@econ	SIGNAL	Scenarios for our Economic Future
1566407	lightning	1	631	0	2	11.5	440729	255	recent@lightning|top@lightning	SIGNAL	Biggest Channel Opened Today (5.0 BTC) + New Node Spotlight (03eedd67ac9b4762c…)
1567014	AskSN	2	539	0	1	1.5	1532836	435	recent@bitcoin|top@bitcoin|recent@bitcoinplusplus	FRESH,SIGNAL	Conclusions of the @Inp2pBot forensic investigation, by its creator
1566680	AI	1	490	0	2	7.0	227606	2535	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	For a good time...
1566939	lol	2	444	0	2	2.6	458256	4924	recent@lol|top@lol	SIGNAL	Heavy Rain Floods Barcelona's Camp Nou Press Box During Opener
1566525	news	2	418	0	1	9.6	9274	27242	recent@Construction_and_Engineering|top@Construction_and_Engineering|recent@news	SIGNAL	Boring Company adds JW Marriott stop as Nashville tunnel project expands
1566658	security	1	388	0	0	7.6	280679	23209	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	Phishing Alert: Do Not Act on Unsolicited Liquid or Blockstream Messages
1566696	lightning	1	368	0	61	6.6	273359	997	recent@lightning|top@lightning	SIGNAL	Justin Shocknet caught trying to drain Lightning wallets
1566919	bitcoin	1	339	0	0	2.9	1555790	22	recent@bitcoin|top@bitcoin	SIGNAL	Man sentenced for Danbury kidnapping, Bitcoin robbery
1566664	econ	2	317	0	0	7.4	280679	23209	recent@econ|top@econ	SIGNAL	One data center's surplus tax could pay each rural household up to $8,900 a year
1566424	AskSN	2	299	0	3	11.1	375108	332	recent@AskSN|top@AskSN	SIGNAL	What does the acronym LIT stand for?
1566865	bitcoin	1	289	0	1	4.2	375687	3199	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Long live the downzappers ➖⚡
1566903	bitcoin	1	283	0	0	3.5	1546958	28	recent@bitcoin|top@bitcoin	SIGNAL	$BTC  right now:
1566595	lightning	1	264	0	0	8.7	1565923	4	recent@lightning|top@lightning	SIGNAL	lnd v0.20.3-beta.rc1
1566686	Design	2	254	0	0	6.8	383547	3656	recent@Design|top@Design	SIGNAL	Opensource UI
1566815	AI	1	250	0	0	4.8	1054143	1223	recent@bitcoin_Mining|top@bitcoin_Mining|recent@AI	SIGNAL	AI Boom Wrecks Trump’s Plan for ‘Made-in-America’ Bitcoin Mining
1566681	news	2	243	0	2	7.0	1054143	1223	recent@news|top@news	SIGNAL	Manchester United vs Sabah: UEFA Champions League – preview, team news
1566683	Politics_And_Law	3	241	0	3	6.9	280679	23209	recent@econ|top@econ	SIGNAL	Donald Trump promised $2 a gallon gasoline to win votes
1566599	the_stacker_muse	3	239	0	1	8.7	296825	5303	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	SIGNAL	Somebody paid 80 cents to write eight words into the Timechain
1566528	news	2	236	0	12	9.6	642641	8786	recent@econ|top@econ|recent@news	SIGNAL,SELF_POST_OPP	Iran Cripples U.S. Military Network: 16 Bases Hit, Critical Radar Destroyed...
1566791	AskSN	2	214	0	5	5.1	1545780	147	recent@AskSN|top@AskSN	SIGNAL,SELF_POST_OPP	Is Ledger Nano S Plus a Good First Hardware Wallet?
1566447	Politics_And_Law	3	207	0	8	10.7	642641	8786	recent@history|top@history	SIGNAL,SELF_POST_OPP	The war against Iran is breaking the final pillar of US global dominance
1566841	AskSN	2	200	0	0	4.4	1054143	1223	recent@AskSN|top@AskSN	SIGNAL	What’s Your Wish Before Bedtime Tonight?
1566837	ideasfromtheedge	2	200	0	1	4.5	1450322	111	recent@ideasfromtheedge|top@ideasfromtheedge	SIGNAL	Contrarian thought:
1566535	news	2	197	0	6	9.5	9274	27242	recent@Construction_and_Engineering|top@Construction_and_Engineering|recent@news	SIGNAL	CF Industries to begin construction of 51k BTC Louisiana blue ammonia project
1566642	AI	1	168	0	2	7.9	297791	7707	recent@AI|top@AI|recent@news	SIGNAL	Meta Stock Jumps As Tech Giant Touts Early Interest In Muse AI Agent
1566826	Photography	3	156	0	1	4.6	984933	2380	recent@history|top@history	SIGNAL	The streets of Chemnitz, Germany, c.  1890s-1900
1566653	science	2	130	0	0	7.7	140698	1086	recent@science|top@science	SIGNAL	Scientists Reversed a Law of Physics by Scrambling Cause and Effect
1566544	Design	2	126	0	0	9.3	383547	3656	recent@Design|top@Design	SIGNAL	Atlas: a world model for spatial intelligence
1566675	math	2	123	0	0	7.1	280679	23209	recent@math|top@math|recent@science	SIGNAL	What Is Math’s Mysterious Langlands Program Really About?
1567017	bitcoin	1	120	0	3	1.5	1208996	498	recent@bitcoin_beginners|top@bitcoin_beginners	FRESH,SIGNAL	They continue to call Bitcoin a "crypto-bet."
1566931	math	2	102	0	1	2.7	1248037	2012	recent@math|top@math	SIGNAL	J_malicious: OpenAI Math Breakthrough Sparks Controversy as Adversarial Topology
1566339	bitcoin	1	6309	0	65	12.3	74100	12559	recent@bitcoin|top@bitcoin	HOT	Is L-BTC a shitcoin?
1565551	AskSN	2	5660	0	10	33.3	724606	12675	recent@econ|recent@AskSN|recent@BooksAndArticles	HOT,SELF_POST_OPP	Who Owns the Sun? And Other Qs from "The Natural Dividend"
1566239	Politics_And_Law	3	4101	0	7	14.0	30782	25688	recent@econ|top@econ	HOT,SELF_POST_OPP	Treasury secretary warns FX traders he's 'the house now'
1565565	AI	1	3780	0	14	32.6	12309	3661	recent@AI|recent@math|recent@science	HOT	You should care about the AI math breakthrough drama even if you're not a nerd
1566096	bitcoin	1	3617	0	57	16.2	74100	12559	recent@bitcoin|top@bitcoin	HOT	Liquid hacker: "You shall pay for your dereliction of duty"
1566234	AskSN	2	2558	0	13	14.1	280679	23209	recent@econ|top@econ|recent@AskSN	HOT,SELF_POST_OPP	Should the State Pay Stay-at-Home Moms?
1565535	AI	1	2477	0	9	33.7	4078	5466	recent@AI|recent@math|recent@science	HOT	On the Navier–Stokes Millennium Prize Problem
1566168	bitcoin	1	2388	0	2	15.2	303620	6371	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT	Cornell Bitcoin Adoption Index — 2026 Edition
1565587	BooksAndArticles	2	2338	0	14	32.3	1	27335	recent@BooksAndArticles	HOT,SELF_POST_OPP	[REVIEW] Blindsight by Peter Watts o-[]-[]-[]-----
1566362	charts_and_maps	2	2246	0	9	12.2	375005	2193	recent@charts_and_maps|top@charts_and_maps	HOT,SELF_POST_OPP	September: Yellow Month (suicide prevention)
1565990	bitcoin	1	2161	0	25	18.8	303620	6371	recent@bitcoin|top@bitcoin|recent@lightning	HOT	Albyhub Update ASAP!!!
1566271	meta	1	2112	0	35	13.5	934367	1019	recent@meta|top@meta	HOT	who tf spent almost half a million sats in downzapping yesterday?
1565500	Stacker_Stocks	2	1988	0	5	34.4	1202928	242	recent@Stacker_Stocks	HOT,SELF_POST_OPP	New Sports Markets on Predyx with a Central Limit Order Book
1565564	bitcoin	1	1648	0	1	32.7	74100	12559	recent@bitcoin	HOT	babiloniav2 - AdamISZ
1566033	Politics_And_Law	3	1497	0	12	17.9	724606	12675	top@econ	HOT,SELF_POST_OPP	Toward Swedish "Wealth Porn": Egalitarians now Comfy w Wealth (The Conversation)
1566160	lightning	1	1381	0	1	15.4	440729	255	recent@lightning|top@lightning	HOT	Biggest Channel Opened Today (7.5 BTC) + New Node Spotlight (0340d4aaf922c38ac…)
1565964	art	3	1380	0	1	20.0	988069	303	recent@BooksAndArticles|top@BooksAndArticles	HOT	SHARKS, SHARKS, SHARKS
1565605	lol	2	1349	0	4	31.5	879734	9433	recent@AI|recent@lol	HOT	Capture your niche, LLMs
1566212	news	2	1259	1000	4	14.6	51481	4215	recent@news|top@news	OPEN_BOUNTY,LOW_COMP,HOT	Iceberg Ahead - Finding the small news story before it changes the world
1565975	Stacker_Stocks	2	1219	0	2	19.4	280679	23209	recent@Stacker_Stocks|top@Stacker_Stocks	HOT	Block Applies to Establish Builders Bank, a National Trust Bank
1566063	Stacker_Stocks	2	1181	0	0	17.1	724606	12675	recent@econ|top@econ|recent@Stacker_Stocks	HOT	Bonds Are Dying... Even Norway's Oil Fund Says So (FT, Katie Martin)
1565856	math	2	1168	0	5	24.3	74100	12559	recent@bitcoin|recent@math	HOT,SELF_POST_OPP	Computing 256-bit ECC DLs in 26 days with a quantum computer with 20,000 qubits
1566073	BooksAndArticles	2	1032	0	0	16.8	724606	12675	recent@econ|top@econ|recent@BooksAndArticles	HOT	ECB President Lagarde to Release Book in January (Bloomberg, Schroers & Randow)
1565439	lightning	1	969	0	2	35.5	440729	255	recent@lightning		Biggest Channel Opened Today (2.0 BTC) + New Node Spotlight (033daaa35184535cc…)
1566261	meta	1	954	0	11	13.6	36151	1626	recent@meta|top@meta		What are you working on this week?
1566008	AI	1	880	0	12	18.4	4078	5466	recent@AI|top@AI		Opusfived
1566287	events	3	789	0	1	13.2	133958	193	recent@bitcoin|top@bitcoin		Hackalajara 2.0: PlebLab Startup Day Guadalajara Recap - Bitcoin News
1565940	AskSN	2	741	0	2	20.8	509957	4813	recent@AskSN|top@AskSN		2026-27 UCL Pool: Week 1 Match Day 2
1565819	bitcoin_beginners	1	719	0	2	25.4	375108	332	recent@bitcoin_beginners		On-chain zaps. (And isn't Lightning for that?)
1565933	news	2	692	0	2	21.1	297791	7707	recent@bitcoin|top@bitcoin|recent@news		Iran turns to crypto to get around sanctions
1565594	AskSN	2	560	0	8	31.9	1545780	147	recent@AskSN	SELF_POST_OPP	This Is Exactly What I Meant About Kinder Toys in Türkiye
1565589	AI	1	473	0	0	32.3	12309	3661	recent@AI		How a tiny Anthropic team became a surprisingly productive hit factory
1566229	Education	2	459	0	1	14.2	402772	22343	recent@Education|top@Education		15 U.S. colleges now cost $100K+ per year — and almost none of them are worth it
1565518	lightning	1	447	0	6	34.1	593339	20	recent@lightning		Phoenix wallet channel closed
1565714	tech	1	413	0	1	28.5	161788	10385	recent@tech		Muse – Meta’s personal AI agent
1566283	Politics_And_Law	3	387	0	8	13.3	88718	47451	recent@econ|top@econ	SELF_POST_OPP	Quibbling Over the Definition of Private Property
1565965	AI	1	385	0	4	19.9	402772	22343	recent@AI|top@AI		Former OpenAI & Anthropic Researcher: “Neither Company Is Acting Responsibly”
1565697	AI	1	359	0	3	29.0	1208996	498	recent@AI|recent@news		🌎 UNITED STATES VS. EUROPE: Two Paths to the FUTURE OF AI
1565881	bitcoin	1	350	0	1	22.6	263526	678	recent@bitcoin|top@bitcoin|recent@lightning		Post-quantum rescue protocols for Bitcoin
1565984	AI	1	317	0	3	18.9	280679	23209	recent@AI|top@AI		The Shared Clipboard Inside the Sandbox: Cross-Account Data Leakage in ChatGPT
1566039	Politics_And_Law	3	310	0	2	17.8	280679	23209	recent@econ|top@econ		Liberalism needs a new philosophy of immigration
1566227	AI	1	308	0	0	14.3	280679	23209	recent@AI|top@AI|recent@econ		Data Center Dividends
1566027	Stacker_Stocks	2	297	0	0	18.0	9274	27242	recent@Stacker_Stocks|top@Stacker_Stocks		⛽ Diesel’s ripple effect - Snacks
1566127	AskSN	2	289	0	5	15.7	984933	2380	recent@AskSN|top@AskSN|recent@history	SELF_POST_OPP	The Centenary Dilemma?
1565759	Photography	3	281	0	2	27.2	984933	2380	recent@history		Girl by a water mill on a hazy morning, Belgium, 1905.
1566201	bitcoin	1	278	0	0	14.8	296825	5303	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		Block Files OCC Charter for Builders Bank, a Purpose-Built Bitcoin Custody Trust
1565403	Design	2	255	0	0	36.0	383547	3656	recent@Design		Today's Best Website Design :: Seasats by Raw Materials
1565967	charts_and_maps	2	253	0	0	19.9	280679	23209	recent@charts_and_maps|top@charts_and_maps		Tracking the size of public sector workforces around the world
1565658	AskSN	2	250	0	0	30.3	1532836	435	recent@bitcoin|recent@bitcoin_beginners|recent@bitcoinplusplus		default Mostro node update.
1565639	bitcoin	1	234	0	1	30.5	1532836	435	recent@bitcoin_Mining|recent@bitcoinplusplus		Rigly's block party, Saturday, September 12th
1565580	AI	1	234	0	0	32.4	12309	3661	recent@AI|recent@science		AlphaGenome Atlas: Molecular predictions for 9 Billion human DNA variants
1566333	bitcoin	1	227	0	0	12.5	1547920	9	recent@lightning|top@lightning		Sovran_SystemsOS v1.1.5 is now Live!
1565866	AskSN	2	218	0	0	23.6	296825	5303	top@bitcoin_beginners|top@lightning		Would you recommend, ignoring the quantum panic narrative?
1565968	bitcoin_beginners	1	215	0	3	19.8	1240185	67	recent@bitcoin_beginners|top@bitcoin_beginners		Bitcoin Security: A Beginner's Guide to Self-Custody
1565562	news	2	213	0	2	33.0	9274	27242	recent@Construction_and_Engineering|recent@news		TikTok is Changing Construction’s Image with Gen Z
1566335	bitcoin	1	201	0	0	12.4	296825	5303	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs		Cashu is looking for a cracked rust dev to work with the team on cashu
1566174	charts_and_maps	2	199	0	3	15.2	280679	23209	recent@econ|top@econ|recent@charts_and_maps		Mapped: America’s Top Employment Sector by State (1990 vs. 2025)
