# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1566339	bitcoin	1	5996	0	55	5.0	74100	12534	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Is L-BTC a shitcoin?
1566096	bitcoin	1	3296	0	54	8.8	74100	12534	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Liquid hacker: "You shall pay for your dereliction of duty"
1566607	bitcoin	1	2572	0	0	1.2	1565925	4	recent@bitcoin|top@bitcoin	FRESH,HOT,SIGNAL	Bitcoin Core 31.1 released
1566168	bitcoin	1	2148	0	1	7.9	303620	6367	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT,SIGNAL	Cornell Bitcoin Adoption Index — 2026 Edition
1565990	bitcoin	1	2140	0	24	11.4	303620	6367	recent@bitcoin|top@bitcoin|recent@lightning	HOT,SIGNAL	Albyhub Update ASAP!!!
1566271	meta	1	1798	0	27	6.1	934367	1019	recent@meta|top@meta	HOT,SIGNAL	who tf spent almost half a million sats in downzapping yesterday?
1566160	lightning	1	1360	0	1	8.0	440729	255	recent@lightning|top@lightning	HOT,SIGNAL	Biggest Channel Opened Today (7.5 BTC) + New Node Spotlight (0340d4aaf922c38ac…)
1566474	tech	1	1101	0	3	2.9	402772	22338	recent@tech|top@tech	HOT,SIGNAL	Apple Debuts the iPhone Duo, Its First Folding iPhone
1566452	AI	1	1086	0	24	3.2	48657	15139	recent@AI|top@AI	HOT,SIGNAL	Anthropic Researcher Quits Over ‘Out-of-Control’ AI Fears
1566008	AI	1	880	0	11	11.0	4078	5466	recent@AI|top@AI	SIGNAL	Opusfived
1566261	meta	1	854	0	11	6.2	36151	1626	recent@meta|top@meta	SIGNAL	What are you working on this week?
1566517	news	2	851	0	3	2.4	74100	12534	recent@bitcoin|top@bitcoin	SIGNAL	Liquid Network update - new release as of 9 Sept 2026 1330 UTC
1566287	events	3	689	0	1	5.9	133958	193	recent@bitcoin|top@bitcoin	SIGNAL	Hackalajara 2.0: PlebLab Startup Day Guadalajara Recap - Bitcoin News
1566564	news	2	653	0	0	1.7	297791	7706	recent@tech|top@tech	FRESH,SIGNAL	Starlink Quietly Debuts Router 4, Confirms It Features Wi-Fi 7
1566548	AI	1	622	0	1	1.9	12309	3661	recent@AI|top@AI	FRESH,SIGNAL	Scenarios for our Economic Future
1566407	lightning	1	610	0	2	4.2	440729	255	recent@lightning|top@lightning	SIGNAL	Biggest Channel Opened Today (5.0 BTC) + New Node Spotlight (03eedd67ac9b4762c…)
1565984	AI	1	317	0	3	11.5	280679	23204	recent@AI|top@AI	SIGNAL	The Shared Clipboard Inside the Sandbox: Cross-Account Data Leakage in ChatGPT
1566227	AI	1	308	0	0	6.9	280679	23204	recent@AI|top@AI	SIGNAL	Data Center Dividends
1566201	bitcoin	1	278	0	0	7.5	296825	5303	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Block Files OCC Charter for Builders Bank, a Purpose-Built Bitcoin Custody Trust
1566595	lightning	1	264	0	0	1.4	1565923	4	recent@lightning|top@lightning	FRESH,SIGNAL	lnd v0.20.3-beta.rc1
1566599	the_stacker_muse	3	239	0	1	1.3	296825	5303	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	FRESH,SIGNAL	Somebody paid 80 cents to write eight words into the Timechain
1566333	bitcoin	1	206	0	0	5.1	1547920	9	recent@lightning|top@lightning	SIGNAL	Sovran_SystemsOS v1.1.5 is now Live!
1566335	bitcoin	1	201	0	0	5.1	296825	5303	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs	SIGNAL	Cashu is looking for a cracked rust dev to work with the team on cashu
1566035	AskSN	2	197	0	3	10.6	1532836	428	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	SIGNAL	my POW from rigly's blockparty
1566048	news	2	185	0	0	10.0	280679	23204	recent@devs|top@devs	SIGNAL	Switzerland tests a FOSS escape route from Microsoft 365. Workplace for 3k
1566012	AI	1	169	0	2	10.9	280679	23204	recent@AI|top@AI	SIGNAL	AI Has Solved One of Math’s $1 Million Millennium Prize Problems
1566001	AI	1	166	0	1	11.2	297791	7706	recent@AI|top@AI	SIGNAL	Anthropic researcher says AI has more than 10% chance of 'killing all humans'
1566000	meta	1	160	0	0	11.2	36151	1626	recent@meta|top@meta	SIGNAL	This Day on SN: September 9
1566642	AI	1	147	0	2	0.6	297791	7706	recent@AI|top@AI	FRESH,SIGNAL	Meta Stock Jumps As Tech Giant Touts Early Interest In Muse AI Agent
1566179	AI	1	142	0	0	7.7	296825	5303	recent@AI|top@AI	SIGNAL	OpenAI Says It Has Solved a Millennium Prize Problem—a Holy Grail of Math
1566134	AI	1	125	0	0	8.3	1490792	473	recent@AI|top@AI	SIGNAL	US claims Chinese AI companies’ core AI strategy is distilling American models
1566112	bitcoin	1	123	0	1	8.5	1490792	473	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	Block seeks OCC charter for Bitcoin custody
