# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1564196	bitcoin	1	1619	0	5	2.6	74100	12462	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT,SIGNAL	Mononaut explains the Liquid vulnerability
1564011	lightning	1	1446	0	1	7.6	163128	3822	recent@lightning|top@lightning	HOT,SIGNAL	Onion message jamming in the lightning network - Erick Cestari
1564128	bitcoin	1	1300	0	11	4.2	1264102	84	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Book Collecting For Bitcoiners, Part 1
1564105	security	1	957	0	4	4.8	303620	6352	recent@bitcoin|top@bitcoin|recent@security	SIGNAL	Will Liquid Lose 1:1 BTC Parity?
1564232	AskSN	2	541	0	4	2.0	1242375	229	recent@bitcoin|top@bitcoin	FRESH,SIGNAL	Who will be the next big Bitcoin hack?
1564117	DIY	3	534	0	3	4.6	280679	23127	recent@tech|top@tech	SIGNAL	Build a digitally sovereign second brain
1564126	AI	1	306	0	1	4.2	297791	7693	recent@AI|top@AI	SIGNAL	Nvidia's Jensen Huang says 'AGI has arrived' and congratulates OpenAI
1563987	mempool	1	300	0	1	9.3	263526	658	recent@lightning|top@lightning|recent@mempool	SIGNAL	Blockstream's Liquid Explorer still stacking blocks
1564330	bitcoin	1	225	0	0	0.2	280679	23127	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	FRESH,SIGNAL	Avoiding Single Points of Failure
1564098	AskSN	2	216	0	0	5.0	1532836	404	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	Mostro 🧌 creates an identity for you when you log in for the first time
1564133	AI	1	199	0	3	4.1	280679	23127	recent@AI|top@AI	SIGNAL	AI keeps stubbornly refusing to take our jobs
1564335	bitcoin	1	144	0	2	0.1	74100	12462	recent@bitcoin|top@bitcoin	FRESH,SIGNAL	Liquud White hat  returns 3400 BTC
1564015	AI	1	125	0	2	7.4	1054143	1211	recent@AI|top@AI	SIGNAL	Google Puts Voice AI Inside Gmail, Docs and Keep
1563313	meta	1	7090	0	75	26.0	879734	9274	recent@meta	HOT	Shitcoin/scam ads on SN - yay or nay, and why?
1563609	bitcoin	1	2806	0	85	20.9	74100	12462	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT	4k BTC Liquid pegout, OP_Return: "We are whitehats"
1563516	meta	1	1937	0	12	22.5	280679	23127	recent@bitcoin|top@bitcoin|recent@meta	HOT	Is it finally happening today?
1563324	bitcoin	1	1923	0	4	25.6	375687	3175	recent@bitcoin|recent@bitcoin_beginners	HOT	If there's one group that never rests, it's scammers.
1563524	lol	2	1833	0	4	22.3	263526	658	recent@mempool|top@mempool	HOT	Did Liquid just stop mining? Last block mined 4h ago
1563920	bitcoin	1	1251	0	19	13.1	74100	12462	recent@bitcoin|top@bitcoin	HOT	Liquid "whitehat" trying sending funds back?
1563642	meta	1	1094	0	3	20.0	92827	2865	recent@meta|top@meta	HOT	SNZ has a maintenance week
1563848	bitcoin	1	1036	0	4	15.3	74100	12462	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT	various clanker summaries of the Liquid vulnerability
1563448	lol	2	995	0	4	23.7	1	27300	recent@bitcoin|top@bitcoin		Seinfeld Bitcoin clips montage
1563340	bitcoin	1	865	0	10	25.4	178	932	recent@bitcoin		Sunday Survey: What's the natural mNAV of treasury companies?
1563140	bitcoin	1	821	0	1	32.3	387549	3	recent@bitcoin|recent@privacy		Try out hardware wallet signing coinjoins 🕶️
1563585	AI	1	534	0	0	21.5	12309	3655	recent@AI|top@AI		The jobs apocalypse is postponed. An AI jobs boom is here
1563451	bitcoin	1	518	0	1	23.6	593189	867	recent@bitcoin|top@bitcoin		"we do not accept bitcoin / we feel a general hatred for Bitcoins"
1563296	bitcoin	1	490	0	3	26.4	1532699	347	recent@bitcoin		Bitcoin Is Starting to Look Like “Digital Gold”
1563917	AskSN	2	422	0	3	13.3	1532836	404	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		I have good news and bad news.
1563660	tech	1	339	0	0	19.6	161788	10368	recent@tech|top@tech		Nitter is unarchived and will continue
1563169	meta	1	332	0	0	30.0	36151	1623	recent@meta		This Day on SN: September 6
1563300	tech	1	276	0	0	26.3	161788	10368	recent@tech		Intellectual Fly Is Open
1563094	openagents	1	236	0	0	35.4	534967	238	recent@openagents		Episode 279: Raiding Claude Code
1563713	bitcoin	1	228	0	4	18.4	296825	5282	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		Do you understand this?
1563578	AI	1	208	0	0	21.5	280679	23127	recent@AI|top@AI		LLM Reverse Engineering: The 32% Binary Barrier
1563810	bitcoin	1	193	0	5	16.5	1301409	53	recent@bitdevs|top@bitdevs		What's the status on freeing Samourai?
1563892	AskSN	2	176	0	0	14.1	792262	1751	recent@bitcoin|top@bitcoin		Would you receive that package at home?
1563754	bitcoin	1	155	0	2	17.9	296825	5282	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		I don’t believe we shall ever have good money again
1563886	AI	1	110	0	0	14.2	1208996	495	recent@AI|top@AI		❤️🤖 AI is entering a place we never imagined: Our minds 🧠
1563283	lightning	1	105	0	1	26.8	440729	251	recent@lightning		Biggest Channel Opened Today (5.0 BTC) + New Node Spotlight (029e0eb118a374f1f…)
1563614	bitcoin	1	92	0	2	20.8	280679	23127	recent@bitcoin_Mining|top@bitcoin_Mining		600 BTC Mined in 2010 Moves After 16 Years of Dormancy
1563977	lightning	1	76	0	15	9.7	1563015	24	recent@lightning|top@lightning		Zaps without a receiving wallet become credits, permanently
1564231	lightning	1	73	0	3	2.0	263526	658	recent@lightning|top@lightning		judge Lightning on what it moves, here the numbers
1563854	AI	1	42	0	1	15.2	934429	336	recent@AI|top@AI		The next AI revolution is autonomy.
